"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1076","Fast end-to-end path CRUD","","Sat Sep 20 16:59:19 GMT 2025","failed","Sat Sep 20 16:59:20 GMT 2025","","Manage books in the bookstore","Fast end-to-end path CRUD",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1094","Add a new book","","Sat Sep 20 16:59:20 GMT 2025","failed","Sat Sep 20 16:59:21 GMT 2025","","Manage books in the bookstore","Add a new book",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","1204","Update an author","","Sat Sep 20 16:59:17 GMT 2025","failed","Sat Sep 20 16:59:19 GMT 2025","","Manage authors in the bookstore","Update an author",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","3538","Remove an author","","Sat Sep 20 16:59:14 GMT 2025","failed","Sat Sep 20 16:59:17 GMT 2025","","Manage authors in the bookstore","Remove an author",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","520","Attempting to view a book that does not exist","","Sat Sep 20 16:59:20 GMT 2025","passed","Sat Sep 20 16:59:21 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","3918","Idempotent removal - repeating the operation","","Sat Sep 20 16:59:14 GMT 2025","failed","Sat Sep 20 16:59:18 GMT 2025","","System responses to exceptional situations in the book catalog","Idempotent removal - repeating the operation",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","1073","Attempting to view a book that does not exist","","Sat Sep 20 16:59:20 GMT 2025","passed","Sat Sep 20 16:59:21 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","857","Add a new author","","Sat Sep 20 16:59:19 GMT 2025","failed","Sat Sep 20 16:59:20 GMT 2025","","Manage authors in the bookstore","Add a new author",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","902","Attempting to view an author that does not exist","","Sat Sep 20 16:59:17 GMT 2025","passed","Sat Sep 20 16:59:18 GMT 2025","","System responses to exceptional situations in the author catalog","Attempting to view an author that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","284","Rejecting an attempt to add an author without required information","","Sat Sep 20 16:59:19 GMT 2025","failed","Sat Sep 20 16:59:19 GMT 2025","","System responses to exceptional situations in the author catalog","Rejecting an attempt to add an author without required information",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","885","Fast end-to-end path CRUD","","Sat Sep 20 16:59:19 GMT 2025","failed","Sat Sep 20 16:59:20 GMT 2025","","Manage authors in the bookstore","Fast end-to-end path CRUD",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","520","Attempting to view a book that does not exist","","Sat Sep 20 16:59:20 GMT 2025","passed","Sat Sep 20 16:59:20 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","286","Rejecting an attempt to add a book without required information","","Sat Sep 20 16:59:19 GMT 2025","failed","Sat Sep 20 16:59:19 GMT 2025","","System responses to exceptional situations in the book catalog","Rejecting an attempt to add a book without required information",""
