"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","891","Fast end-to-end path CRUD","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","Manage authors in the bookstore","Fast end-to-end path CRUD",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","294","Rejecting an attempt to add an author without required information","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","System responses to exceptional situations in the author catalog","Rejecting an attempt to add an author without required information",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1366","Fast end-to-end path CRUD","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:45 GMT 2025","","Manage books in the bookstore","Fast end-to-end path CRUD",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","1792","Attempting to view an author that does not exist","","Sat Sep 20 20:12:40 GMT 2025","passed","Sat Sep 20 20:12:41 GMT 2025","","System responses to exceptional situations in the author catalog","Attempting to view an author that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","894","Attempting to view an author that does not exist","","Sat Sep 20 20:12:42 GMT 2025","passed","Sat Sep 20 20:12:43 GMT 2025","","System responses to exceptional situations in the author catalog","Attempting to view an author that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","288","Rejecting an attempt to add a book without required information","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","System responses to exceptional situations in the book catalog","Rejecting an attempt to add a book without required information",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","310","Rejecting an attempt to add an author without required information","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:43 GMT 2025","","System responses to exceptional situations in the author catalog","Rejecting an attempt to add an author without required information",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","291","Rejecting an attempt to add a book without required information","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","System responses to exceptional situations in the book catalog","Rejecting an attempt to add a book without required information",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","535","Attempting to view a book that does not exist","","Sat Sep 20 20:12:45 GMT 2025","passed","Sat Sep 20 20:12:46 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","1135","Add a new author","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:45 GMT 2025","","Manage authors in the bookstore","Add a new author",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1471","Update a book","","Sat Sep 20 20:12:42 GMT 2025","failed","Sat Sep 20 20:12:43 GMT 2025","","Manage books in the bookstore","Update a book",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","1549","Attempting to view a book that does not exist","","Sat Sep 20 20:12:45 GMT 2025","passed","Sat Sep 20 20:12:47 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","332","Attempting to view an author that does not exist","","Sat Sep 20 20:12:41 GMT 2025","passed","Sat Sep 20 20:12:42 GMT 2025","","System responses to exceptional situations in the author catalog","Attempting to view an author that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","280","Rejecting an attempt to add a book without required information","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","System responses to exceptional situations in the book catalog","Rejecting an attempt to add a book without required information",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","1163","Rejecting an ambiguous update","","Sat Sep 20 20:12:42 GMT 2025","failed","Sat Sep 20 20:12:43 GMT 2025","","System responses to exceptional situations in the book catalog","Rejecting an ambiguous update",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","943","View an existing author","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","Manage authors in the bookstore","View an existing author",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","4126","Idempotent removal - repeating the operation","","Sat Sep 20 20:12:38 GMT 2025","failed","Sat Sep 20 20:12:42 GMT 2025","","System responses to exceptional situations in the author catalog","Idempotent removal - repeating the operation",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","775","Attempting to view a book that does not exist","","Sat Sep 20 20:12:44 GMT 2025","passed","Sat Sep 20 20:12:45 GMT 2025","","System responses to exceptional situations in the book catalog","Attempting to view a book that does not exist",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","3846","Idempotent removal - repeating the operation","","Sat Sep 20 20:12:38 GMT 2025","failed","Sat Sep 20 20:12:42 GMT 2025","","System responses to exceptional situations in the book catalog","Idempotent removal - repeating the operation",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1346","Add a new book","","Sat Sep 20 20:12:44 GMT 2025","failed","Sat Sep 20 20:12:46 GMT 2025","","Manage books in the bookstore","Add a new book",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","3595","Remove an author","","Sat Sep 20 20:12:38 GMT 2025","failed","Sat Sep 20 20:12:42 GMT 2025","","Manage authors in the bookstore","Remove an author",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","1150","Rejecting an ambiguous update","","Sat Sep 20 20:12:42 GMT 2025","failed","Sat Sep 20 20:12:44 GMT 2025","","System responses to exceptional situations in the author catalog","Rejecting an ambiguous update",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","1538","View an existing book","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:45 GMT 2025","","Manage books in the bookstore","View an existing book",""
"  In order to keep the bookstore accurate and up to date,
  as an authorized user I want to add, view, edit, and remove books.","3599","Remove a book","","Sat Sep 20 20:12:38 GMT 2025","failed","Sat Sep 20 20:12:42 GMT 2025","","Manage books in the bookstore","Remove a book",""
"  To protect data consistency and the user experience,
  the system should clearly communicate errors and block invalid operations.","307","Rejecting an attempt to add an author without required information","","Sat Sep 20 20:12:43 GMT 2025","failed","Sat Sep 20 20:12:43 GMT 2025","","System responses to exceptional situations in the author catalog","Rejecting an attempt to add an author without required information",""
"  In order to keep the bookstore accurate and informative,
  as an authorized user I want to add, view, edit, and remove authors.","1253","Update an author","","Sat Sep 20 20:12:42 GMT 2025","failed","Sat Sep 20 20:12:43 GMT 2025","","Manage authors in the bookstore","Update an author",""
